,gsr,hr,id,level,state,timestamp,userid
82,6826.0,104,83,0.0,Normal,2015-12-08T22:00:00,1
83,51200.0,102,84,0.0,Normal,2015-12-08T22:00:00,1
84,34133.0,88,85,0.0,Normal,2015-12-08T22:00:00,1
85,51200.0,87,86,0.0,Normal,2015-12-08T22:00:00,1
86,51200.0,84,87,0.0,Normal,2015-12-08T22:00:00,1
87,3531.0,84,88,0.0,Normal,2015-12-08T22:00:00,1
88,3531.0,85,89,0.0,Normal,2015-12-08T22:00:00,1
89,3938.0,89,90,0.0,Normal,2015-12-08T22:00:00,1
90,51200.0,92,91,0.0,Normal,2015-12-08T22:00:00,1
91,4266.0,91,92,0.0,Normal,2015-12-08T22:00:00,1
92,51200.0,89,93,0.0,Normal,2015-12-08T22:00:00,1
93,51200.0,88,94,0.0,Normal,2015-12-08T22:00:00,1
94,51200.0,86,95,0.0,Normal,2015-12-08T22:00:00,1
95,51200.0,85,96,0.0,Normal,2015-12-08T22:00:00,1
96,4096.0,84,97,0.0,Normal,2015-12-08T22:00:00,1
97,4266.0,83,98,0.0,Normal,2015-12-08T22:00:00,1
98,51200.0,84,99,0.0,Normal,2015-12-08T22:00:00,1
99,5389.0,87,100,0.0,Normal,2015-12-08T22:00:00,1
0,5688.0,89,101,0.0,Normal,2015-12-08T22:00:00,1
1,5389.0,90,102,0.0,Normal,2015-12-08T22:00:00,1
2,4876.0,91,103,0.0,Normal,2015-12-08T22:00:00,1
3,5120.0,91,104,0.0,Normal,2015-12-08T22:00:00,1
4,6400.0,93,105,0.0,Normal,2015-12-08T22:00:00,1
5,25600.0,94,106,0.0,Normal,2015-12-08T22:00:00,1
6,51200.0,95,107,0.0,Normal,2015-12-08T22:00:00,1
7,51200.0,94,108,0.0,Normal,2015-12-08T22:00:00,1
8,5389.0,92,109,0.0,Normal,2015-12-08T22:00:00,1
9,17066.0,88,110,0.0,Normal,2015-12-08T22:00:00,1
10,51200.0,87,111,0.0,Normal,2015-12-08T22:00:00,1
11,51200.0,94,112,0.0,Normal,2015-12-08T22:00:00,1
12,51200.0,93,113,0.0,Normal,2015-12-08T22:00:00,1
13,51200.0,95,114,0.0,Normal,2015-12-08T22:00:00,1
14,4876.0,101,115,0.0,Normal,2015-12-08T22:00:00,1
15,4654.0,103,116,0.0,Normal,2015-12-08T22:00:00,1
16,5120.0,106,117,0.0,Normal,2015-12-08T22:00:00,1
17,5120.0,107,118,0.0,Normal,2015-12-08T22:00:00,1
18,5120.0,107,119,0.0,Normal,2015-12-08T22:00:00,1
19,34133.0,80,120,0.0,Normal,2015-12-08T22:00:00,1
20,51200.0,73,121,0.0,Normal,2015-12-08T22:00:00,1
21,51200.0,71,122,0.0,Normal,2015-12-08T22:00:00,1
22,51200.0,71,123,0.0,Normal,2015-12-08T22:00:00,1
23,51200.0,70,124,0.0,Normal,2015-12-08T22:00:00,1
24,51200.0,68,125,0.0,Normal,2015-12-08T22:00:00,1
25,6826.0,67,126,0.0,Normal,2015-12-08T22:00:00,1
26,6400.0,78,127,0.0,Normal,2015-12-08T22:00:00,1
27,51200.0,86,128,0.0,Normal,2015-12-08T22:00:00,1
28,51200.0,90,129,0.0,Normal,2015-12-08T22:00:00,1
29,51200.0,90,130,0.0,Normal,2015-12-08T22:00:00,1
30,51200.0,89,131,0.0,Normal,2015-12-08T22:00:00,1
31,51200.0,87,132,0.0,Normal,2015-12-08T22:00:00,1
32,51200.0,85,133,0.0,Normal,2015-12-08T22:00:00,1
33,10240.0,84,134,0.0,Normal,2015-12-08T22:00:00,1
34,51200.0,81,135,0.0,Normal,2015-12-08T22:00:00,1
35,12800.0,80,136,0.0,Normal,2015-12-08T22:00:00,1
36,170.3,78,137,0.0,Normal,2015-12-08T22:00:00,1
37,2178.0,78,138,0.0,Normal,2015-12-08T22:00:00,1
38,1137.0,93,139,0.0,Normal,2015-12-08T22:00:00,1
39,1248.0,102,140,0.0,Normal,2015-12-08T22:00:00,1
40,1329.0,99,141,0.0,Normal,2015-12-08T22:00:00,1
41,1462.0,104,142,0.0,Normal,2015-12-08T22:00:00,1
42,2767.0,110,143,0.0,Normal,2015-12-08T22:00:00,1
43,2767.0,104,144,0.0,Normal,2015-12-08T22:00:00,1
44,2694.0,97,145,0.0,Normal,2015-12-08T22:00:00,1
45,2089.0,89,146,0.0,Normal,2015-12-08T22:00:00,1
46,2007.0,87,147,0.0,Normal,2015-12-08T22:00:00,1
47,3200.0,84,148,0.0,Normal,2015-12-08T22:00:00,1
48,1861.0,85,149,0.0,Normal,2015-12-08T22:00:00,1
49,4266.0,79,150,0.0,Normal,2015-12-08T22:00:00,1
50,1828.0,82,151,0.0,Normal,2015-12-08T22:00:00,1
51,3938.0,84,152,0.0,Normal,2015-12-08T22:00:00,1
52,3531.0,85,153,0.0,Normal,2015-12-08T22:00:00,1
53,2694.0,85,154,0.0,Normal,2015-12-08T22:00:00,1
54,4654.0,86,155,0.0,Normal,2015-12-08T22:00:00,1
55,4266.0,86,156,0.0,Normal,2015-12-08T22:00:00,1
56,5120.0,84,157,0.0,Normal,2015-12-08T22:00:00,1
57,4266.0,83,158,0.0,Normal,2015-12-08T22:00:00,1
58,3938.0,84,159,0.0,Normal,2015-12-08T22:00:00,1
59,3938.0,84,160,0.0,Normal,2015-12-08T22:00:00,1
60,3657.0,84,161,0.0,Normal,2015-12-08T22:00:00,1
61,3413.0,83,162,0.0,Normal,2015-12-08T22:00:00,1
62,3303.0,81,163,0.0,Normal,2015-12-08T22:00:00,1
63,3200.0,81,164,0.0,Normal,2015-12-08T22:00:00,1
64,3200.0,80,165,0.0,Normal,2015-12-08T22:00:00,1
65,3103.0,79,166,0.0,Normal,2015-12-08T22:00:00,1
66,3011.0,78,167,0.0,Normal,2015-12-08T22:00:00,1
67,2844.0,79,168,0.0,Normal,2015-12-08T22:00:00,1
68,2767.0,82,169,0.0,Normal,2015-12-08T22:00:00,1
69,2625.0,84,170,0.0,Normal,2015-12-08T22:00:00,1
70,2925.0,86,171,0.0,Normal,2015-12-08T22:00:00,1
71,3103.0,87,172,0.0,Normal,2015-12-08T22:00:00,1
72,3011.0,87,173,0.0,Normal,2015-12-08T22:00:00,1
73,3011.0,87,174,0.0,Normal,2015-12-08T22:00:00,1
74,3011.0,86,175,0.0,Normal,2015-12-08T22:00:00,1
75,2844.0,84,176,0.0,Normal,2015-12-08T22:00:00,1
76,2767.0,84,177,0.0,Normal,2015-12-08T22:00:00,1
77,2694.0,81,178,0.0,Normal,2015-12-08T22:00:00,1
78,1383.0,81,179,0.0,Normal,2015-12-08T22:00:00,1
79,2226.0,82,180,0.0,Normal,2015-12-08T22:00:00,1
80,2048.0,81,181,0.0,Normal,2015-12-08T22:00:00,1
81,1575.0,81,182,0.0,Normal,2015-12-08T22:00:00,1
82,1651.0,81,183,0.0,Normal,2015-12-08T22:00:00,1
83,1528.0,82,184,0.0,Normal,2015-12-08T22:00:00,1
84,1462.0,81,185,0.0,Normal,2015-12-08T22:00:00,1
85,1347.0,80,186,0.0,Normal,2015-12-08T22:00:00,1
86,1329.0,80,187,0.0,Normal,2015-12-08T22:00:00,1
87,1312.0,79,188,0.0,Normal,2015-12-08T22:00:00,1
88,3792.0,80,189,0.0,Normal,2015-12-08T22:00:00,1
89,3413.0,81,190,0.0,Normal,2015-12-08T22:00:00,1
90,2625.0,80,191,0.0,Normal,2015-12-08T22:00:00,1
91,2560.0,80,192,0.0,Normal,2015-12-08T22:00:00,1
92,1329.0,80,193,0.0,Normal,2015-12-08T22:00:00,1
93,1329.0,80,194,0.0,Normal,2015-12-08T22:00:00,1
94,1329.0,80,195,0.0,Normal,2015-12-08T22:00:00,1
95,1296.0,79,196,0.0,Normal,2015-12-08T22:00:00,1
96,1280.0,79,197,0.0,Normal,2015-12-08T22:00:00,1
97,2226.0,79,198,0.0,Normal,2015-12-08T22:00:00,1
98,2007.0,82,199,0.0,Normal,2015-12-08T22:00:00,1
99,2089.0,85,200,0.0,Normal,2015-12-08T22:00:00,1
0,2226.0,87,201,0.0,Normal,2015-12-08T22:00:00,1
1,2089.0,88,202,0.0,Normal,2015-12-08T22:00:00,1
2,2048.0,88,203,0.0,Normal,2015-12-08T22:00:00,1
3,1969.0,87,204,0.0,Normal,2015-12-08T22:00:00,1
4,2007.0,87,205,0.0,Normal,2015-12-08T22:00:00,1
5,1969.0,85,206,0.0,Normal,2015-12-08T22:00:00,1
6,1932.0,83,207,0.0,Normal,2015-12-08T22:00:00,1
7,1932.0,83,208,0.0,Normal,2015-12-08T22:00:00,1
8,1896.0,85,209,0.0,Normal,2015-12-08T22:00:00,1
9,1932.0,88,210,0.0,Normal,2015-12-08T22:00:00,1
10,2007.0,90,211,0.0,Normal,2015-12-08T22:00:00,1
11,2007.0,92,212,0.0,Normal,2015-12-08T22:00:00,1
12,1347.0,93,213,0.0,Normal,2015-12-08T22:00:00,1
13,1383.0,93,214,0.0,Normal,2015-12-08T22:00:00,1
14,1347.0,97,215,0.0,Normal,2015-12-08T22:00:00,1
15,2007.0,97,216,0.0,Normal,2015-12-08T22:00:00,1
16,2007.0,120,217,0.0,Normal,2015-12-08T22:00:00,1
17,1969.0,117,218,0.0,Normal,2015-12-08T22:00:00,1
18,1896.0,110,219,0.0,Normal,2015-12-08T22:00:00,1
19,1932.0,103,220,0.0,Normal,2015-12-08T22:00:00,1
20,1969.0,98,221,0.0,Normal,2015-12-08T22:00:00,1
21,1932.0,93,222,0.0,Normal,2015-12-08T22:00:00,1
22,1969.0,86,223,0.0,Normal,2015-12-08T22:00:00,1
23,2007.0,83,224,0.0,Normal,2015-12-08T22:00:00,1
24,2048.0,81,225,0.0,Normal,2015-12-08T22:00:00,1
25,1442.0,78,226,0.0,Normal,2015-12-08T22:00:00,1
26,1402.0,78,227,0.0,Normal,2015-12-08T22:00:00,1
27,1365.0,81,228,0.0,Normal,2015-12-08T22:00:00,1
28,1383.0,82,229,0.0,Normal,2015-12-08T22:00:00,1
29,1383.0,85,230,0.0,Normal,2015-12-08T22:00:00,1
30,1365.0,86,231,0.0,Normal,2015-12-08T22:00:00,1
31,1422.0,89,232,0.0,Normal,2015-12-08T22:00:00,1
32,1402.0,90,233,0.0,Normal,2015-12-08T22:00:00,1
33,1402.0,91,234,0.0,Normal,2015-12-08T22:00:00,1
34,1442.0,92,235,0.0,Normal,2015-12-08T22:00:00,1
35,1462.0,89,236,0.0,Normal,2015-12-08T22:00:00,1
36,1442.0,86,237,0.0,Normal,2015-12-08T22:00:00,1
37,1422.0,84,238,0.0,Normal,2015-12-08T22:00:00,1
38,1462.0,83,239,0.0,Normal,2015-12-08T22:00:00,1
39,1678.0,83,240,0.0,Normal,2015-12-08T22:00:00,1
40,1484.0,83,241,0.0,Normal,2015-12-08T22:00:00,1
41,1551.0,83,242,0.0,Normal,2015-12-08T22:00:00,1
42,1505.0,83,243,0.0,Normal,2015-12-08T22:00:00,1
43,1551.0,83,244,0.0,Normal,2015-12-08T22:00:00,1
44,1505.0,83,245,0.0,Normal,2015-12-08T22:00:00,1
45,1575.0,82,246,0.0,Normal,2015-12-08T22:00:00,1
46,1678.0,82,247,0.0,Normal,2015-12-08T22:00:00,1
47,1575.0,81,248,0.0,Normal,2015-12-08T22:00:00,1
48,1442.0,81,249,0.0,Normal,2015-12-08T22:00:00,1
49,1422.0,87,250,0.0,Normal,2015-12-08T22:00:00,1
50,1896.0,96,251,0.0,Normal,2015-12-08T22:00:00,1
51,1422.0,96,252,0.0,Normal,2015-12-08T22:00:00,1
52,1462.0,97,253,0.0,Normal,2015-12-08T22:00:00,1
53,1528.0,97,254,0.0,Normal,2015-12-08T22:00:00,1
54,1484.0,85,255,0.0,Normal,2015-12-08T22:00:00,1
55,25600.0,85,256,0.0,Normal,2015-12-08T22:00:00,1
56,7314.0,85,257,0.0,Normal,2015-12-08T22:00:00,1
57,7876.0,84,258,0.0,Normal,2015-12-08T22:00:00,1
58,5688.0,83,259,0.0,Normal,2015-12-08T22:00:00,1
59,6400.0,82,260,0.0,Normal,2015-12-08T22:00:00,1
60,7314.0,82,261,0.0,Normal,2015-12-08T22:00:00,1
61,4654.0,82,262,0.0,Normal,2015-12-08T22:00:00,1
62,4876.0,82,263,0.0,Normal,2015-12-08T22:00:00,1
63,5389.0,81,264,0.0,Normal,2015-12-08T22:00:00,1
64,6400.0,80,265,0.0,Normal,2015-12-08T22:00:00,1
65,6400.0,80,266,0.0,Normal,2015-12-08T22:00:00,1
66,6400.0,79,267,0.0,Normal,2015-12-08T22:00:00,1
67,6023.0,79,268,0.0,Normal,2015-12-08T22:00:00,1
68,5688.0,78,269,0.0,Normal,2015-12-08T22:00:00,1
69,5688.0,78,270,0.0,Normal,2015-12-08T22:00:00,1
70,177.4,77,271,0.0,Calm,2015-12-09T17:43:20,1
71,225.0,78,272,0.0,Calm,2015-12-09T17:43:20,1
72,257.2,80,273,0.0,Calm,2015-12-09T17:43:20,1
73,396.9,85,274,0.0,Calm,2015-12-09T17:43:20,1
74,339.0,88,275,0.0,Calm,2015-12-09T17:43:20,1
75,309.3,88,276,0.0,Calm,2015-12-09T17:43:20,1
76,312.2,76,277,0.0,Calm,2015-12-09T17:43:20,1
77,383.5,72,278,0.0,Calm,2015-12-09T17:43:20,1
78,368.3,67,279,0.0,Calm,2015-12-09T17:43:20,1
79,353.1,67,280,0.0,Calm,2015-12-09T17:43:20,1
80,433.9,63,281,0.0,Calm,2015-12-09T17:43:20,1
81,435.7,60,282,0.0,Calm,2015-12-09T17:43:20,1
82,417.9,59,283,0.0,Calm,2015-12-09T17:43:20,1
83,340.2,59,284,0.0,Calm,2015-12-09T17:43:20,1
84,439.4,55,285,0.0,Calm,2015-12-09T17:43:20,1
85,449.1,53,286,0.0,Calm,2015-12-09T17:43:20,1
86,439.4,53,287,0.0,Calm,2015-12-09T17:43:20,1
87,414.5,97,288,0.0,Calm,2015-12-09T17:43:20,1
88,414.5,95,289,0.0,Calm,2015-12-09T17:43:20,1
89,433.9,105,290,0.0,Calm,2015-12-09T17:43:20,1
90,441.3,103,291,0.0,Calm,2015-12-09T17:43:20,1
91,390.8,98,292,0.0,Calm,2015-12-09T17:43:20,1
92,401.5,94,293,0.0,Calm,2015-12-09T17:43:20,1
93,358.0,96,294,0.0,Calm,2015-12-09T17:43:20,1
94,368.3,92,295,0.0,Calm,2015-12-09T17:43:20,1
95,445.2,89,296,0.0,Calm,2015-12-09T17:43:20,1
96,389.3,82,297,0.0,Calm,2015-12-09T17:43:20,1
97,386.4,82,298,0.0,Calm,2015-12-09T17:43:20,1
98,377.8,72,299,0.0,Calm,2015-12-09T17:43:20,1
99,383.5,69,300,0.0,Calm,2015-12-09T17:43:20,1
0,373.7,69,301,0.0,Calm,2015-12-09T17:43:20,1
1,361.8,62,302,0.0,Calm,2015-12-09T17:43:20,1
2,365.7,60,303,0.0,Calm,2015-12-09T17:43:20,1
3,361.8,58,304,0.0,Calm,2015-12-09T17:43:20,1
4,356.7,58,305,0.0,Calm,2015-12-09T17:43:20,1
5,353.1,60,306,0.0,Calm,2015-12-09T17:43:20,1
6,386.4,60,307,0.0,Calm,2015-12-09T17:43:20,1
7,492.3,54,308,0.0,Calm,2015-12-09T17:43:20,1
8,354.3,52,309,0.0,Calm,2015-12-09T17:43:20,1
9,358.0,56,310,0.0,Calm,2015-12-09T17:43:20,1
10,348.3,56,311,0.0,Calm,2015-12-09T17:43:20,1
11,344.7,60,312,0.0,Calm,2015-12-09T17:43:20,1
12,347.1,64,313,0.0,Calm,2015-12-09T17:43:20,1
13,437.6,69,314,0.0,Calm,2015-12-09T17:43:20,1
14,421.4,90,315,0.0,Calm,2015-12-09T17:43:20,1
15,430.2,93,316,0.0,Calm,2015-12-09T17:43:20,1
16,432.0,106,317,0.0,Calm,2015-12-09T17:43:20,1
17,430.2,106,318,0.0,Calm,2015-12-09T17:43:20,1
18,426.6,107,319,0.0,Calm,2015-12-09T17:43:20,1
19,424.9,96,320,0.0,Calm,2015-12-09T17:43:20,1
20,426.6,93,321,0.0,Calm,2015-12-09T17:43:20,1
21,467.5,93,322,0.0,Calm,2015-12-09T17:43:20,1
22,469.7,93,323,0.0,Calm,2015-12-09T17:43:20,1
23,439.4,178,324,0.0,Calm,2015-12-09T17:43:20,1
24,439.4,160,325,0.0,Calm,2015-12-09T17:43:20,1
25,459.1,130,326,0.0,Calm,2015-12-09T17:43:20,1
26,449.1,120,327,0.0,Calm,2015-12-09T17:43:20,1
27,369.6,119,328,0.0,Calm,2015-12-09T17:43:20,1
28,358.0,97,329,0.0,Calm,2015-12-09T17:43:20,1
29,369.6,90,330,0.0,Calm,2015-12-09T17:43:20,1
30,451.1,86,331,0.0,Calm,2015-12-09T17:43:20,1
31,447.1,85,332,0.0,Calm,2015-12-09T17:43:20,1
32,437.6,85,333,0.0,Calm,2015-12-09T17:43:20,1
33,426.6,83,334,0.0,Calm,2015-12-09T17:43:20,1
34,375.0,83,335,0.0,Calm,2015-12-09T17:43:20,1
35,396.9,69,336,0.0,Calm,2015-12-09T17:43:20,1
36,433.9,63,337,0.0,Calm,2015-12-09T17:43:20,1
37,469.7,63,338,0.0,Calm,2015-12-09T17:43:20,1
38,489.9,63,339,0.0,Calm,2015-12-09T17:43:20,1
39,443.2,81,340,0.0,Calm,2015-12-09T17:43:20,1
40,504.4,82,341,0.0,Calm,2015-12-09T17:43:20,1
41,480.7,83,342,0.0,Calm,2015-12-09T17:43:20,1
42,504.4,84,343,0.0,Calm,2015-12-09T17:43:20,1
43,517.1,84,344,0.0,Calm,2015-12-09T17:43:20,1
44,428.4,82,345,0.0,Calm,2015-12-09T17:43:20,1
45,417.9,85,346,0.0,Calm,2015-12-09T17:43:20,1
46,407.9,84,347,0.0,Calm,2015-12-09T17:43:20,1
47,525.1,80,348,0.0,Calm,2015-12-09T17:43:20,1
48,544.6,80,349,0.0,Calm,2015-12-09T17:43:20,1
49,530.5,79,350,0.0,Calm,2015-12-09T17:43:20,1
50,517.1,79,351,0.0,Calm,2015-12-09T17:43:20,1
51,512.0,82,352,0.0,Calm,2015-12-09T17:43:20,1
52,433.9,81,353,0.0,Calm,2015-12-09T17:43:20,1
53,559.5,81,354,0.0,Calm,2015-12-09T17:43:20,1
54,538.9,84,355,0.0,Calm,2015-12-09T17:43:20,1
55,522.4,83,356,0.0,Calm,2015-12-09T17:43:20,1
56,449.1,83,357,0.0,Calm,2015-12-09T17:43:20,1
57,536.1,82,358,0.0,Calm,2015-12-09T17:43:20,1
58,522.4,81,359,0.0,Calm,2015-12-09T17:43:20,1
59,519.8,80,360,0.0,Calm,2015-12-09T17:43:20,1
60,443.2,83,361,0.0,Calm,2015-12-09T17:43:20,1
61,447.1,82,362,0.0,Calm,2015-12-09T17:43:20,1
62,595.3,84,363,0.0,Calm,2015-12-09T17:43:20,1
63,494.6,83,364,0.0,Calm,2015-12-09T17:43:20,1
64,492.3,85,365,0.0,Calm,2015-12-09T17:43:20,1
65,568.8,86,366,0.0,Calm,2015-12-09T17:43:20,1
66,572.0,85,367,0.0,Calm,2015-12-09T17:43:20,1
67,562.6,81,368,0.0,Calm,2015-12-09T17:43:20,1
68,556.5,82,369,0.0,Calm,2015-12-09T17:43:20,1
69,463.3,81,370,0.0,Calm,2015-12-09T17:43:20,1
70,525.1,103,371,0.0,Normal,2015-12-09T17:43:20,1
71,536.1,90,372,0.0,Normal,2015-12-09T17:43:20,1
72,541.8,85,373,0.0,Normal,2015-12-09T17:43:20,1
73,527.8,82,374,0.0,Normal,2015-12-09T17:43:20,1
74,525.1,82,375,0.0,Normal,2015-12-09T17:43:20,1
75,476.2,85,376,0.0,Normal,2015-12-09T17:43:20,1
76,541.8,92,377,0.0,Normal,2015-12-09T17:43:20,1
77,559.5,99,378,0.0,Normal,2015-12-09T17:43:20,1
78,568.8,99,379,0.0,Normal,2015-12-09T17:43:20,1
79,361.8,98,380,0.0,Normal,2015-12-09T17:43:20,1
80,364.4,95,381,0.0,Normal,2015-12-09T17:43:20,1
81,499.5,93,382,0.0,Normal,2015-12-09T17:43:20,1
82,509.4,92,383,0.0,Normal,2015-12-09T17:43:20,1
83,501.9,91,384,0.0,Normal,2015-12-09T17:43:20,1
84,527.8,91,385,0.0,Normal,2015-12-09T17:43:20,1
85,512.0,93,386,0.0,Normal,2015-12-09T17:43:20,1
86,478.5,94,387,0.0,Normal,2015-12-09T17:43:20,1
87,367.0,99,388,0.0,Normal,2015-12-09T17:43:20,1
88,517.1,100,389,0.0,Normal,2015-12-09T17:43:20,1
89,525.1,95,390,0.0,Normal,2015-12-09T17:43:20,1
90,168.1,43,391,0.0,Normal,2015-12-09T18:16:40,1
91,400.0,98,392,0.0,Normal,2015-12-09T18:16:40,1
92,497.0,92,393,0.0,Normal,2015-12-09T18:16:40,1
93,499.5,80,394,0.0,Normal,2015-12-09T18:16:40,1
94,512.0,77,395,0.0,Normal,2015-12-09T18:16:40,1
95,494.6,76,396,0.0,Normal,2015-12-09T18:16:40,1
96,478.5,75,397,0.0,Normal,2015-12-09T18:16:40,1
97,469.7,75,398,0.0,Normal,2015-12-09T18:16:40,1
98,421.4,79,399,0.0,Normal,2015-12-09T18:16:40,1
99,494.6,94,400,0.0,Normal,2015-12-09T18:16:40,1
0,613.1,106,401,0.0,Normal,2015-12-09T18:16:40,1
1,673.6,108,402,0.0,Normal,2015-12-09T18:16:40,1
2,711.1,107,403,0.0,Normal,2015-12-09T18:16:40,1
3,764.1,101,404,0.0,Normal,2015-12-09T18:16:40,1
4,781.6,92,405,0.0,Normal,2015-12-09T18:16:40,1
5,769.9,89,406,0.0,Normal,2015-12-09T18:16:40,1
6,517.1,88,407,0.0,Normal,2015-12-09T18:16:40,1
7,514.5,87,408,0.0,Normal,2015-12-09T18:16:40,1
8,509.4,88,409,0.0,Normal,2015-12-09T18:16:40,1
9,501.9,87,410,0.0,Normal,2015-12-09T18:16:40,1
10,787.6,99,411,0.0,Stressed,2015-12-09T18:16:40,1
11,656.4,107,412,0.0,Stressed,2015-12-09T18:16:40,1
12,660.6,104,413,0.0,Stressed,2015-12-09T18:16:40,1
13,656.4,95,414,0.0,Stressed,2015-12-09T18:16:40,1
